Date,Date_Year,Rank,Symbol,Market Cap,Price,Circulating Supply,Volume,%1h,price_hr_1,%24h,price_hr_24,%7d
2014-02-02,2014,14,IFC,9670061.0,0.0,90004496384.0,19282.0,-0.32,0.0,-3.32,0.0,-21.93
2014-02-02,2014,15,FTC,9240476.0,0.29,31987300.0,59291.0,-0.03,0.289913,-4.35,0.277385,-11.24
2014-02-02,2014,16,NVC,7464187.0,12.83,581572.0,8770.0,0.27,12.864641,-2.11,12.559287,-13.2
2014-02-02,2014,17,TIX,3817576.0,0.0,66876280832.0,1738.0,-2.95,0.0,-6.23,0.0,-13.34
2014-02-02,2014,18,DGC,3410900.0,0.26,12913477.0,55284.0,1.98,0.265148,-2.13,0.254462,-5.09
2014-02-02,2014,19,DVC,3336392.0,0.0,6218919936.0,4778.0,-1.04,0.0,0.0,0.0,-16.19
2014-02-02,2014,20,ZET,3270390.0,0.02,159964944.0,7534.0,-0.24,0.019952,-4.85,0.019030000000000002,-5.66
2014-02-09,2014,1,BTC,8451229252.0,682.9,12375500.0,39311440.0,-0.06,682.4902599999999,1.9,695.8751,-17.3
2014-02-09,2014,2,LTC,465932119.0,18.22,25575454.0,5744232.0,-0.58,18.114324,1.27,18.451394,-18.53
2014-02-09,2014,3,XRP,135951310.0,0.02,7817889792.0,64662.0,-0.04,0.019992,0.0,0.02,-19.43
2014-02-09,2014,4,PPC,98911680.0,4.68,21128646.0,673537.0,0.07,4.683275999999999,1.38,4.744584,-19.18
2014-02-09,2014,5,DOGE,60542522.0,0.0,46906470400.0,2538172.0,1.63,0.0,19.6,0.0,-0.88
2014-02-09,2014,6,NXT,48927825.0,0.05,999998016.0,69052.0,1.25,0.050625,6.23,0.053115,-27.1
2014-02-09,2014,7,OMNI,38623691.0,62.35,619478.0,6078.0,-0.63,61.957195,0.46,62.636810000000004,-26.79
2014-02-09,2014,8,NMC,34226582.0,4.28,7991943.0,561370.0,-0.35,4.26502,0.95,4.32066,-21.5
